x,Curve08
-0.00061,-8.6e-05
0.01688,0.001807
0.03436,0.006736
0.05185,0.010542
0.06933,0.015342
0.08682,0.018315
0.1043,0.020605
0.12179,0.022303
0.13928,0.023561
0.15676,0.024564
0.17425,0.025339
0.19173,0.025888
0.20922,0.026247
0.2267,0.026462
0.24419,0.026566
0.26167,0.026566
0.27916,0.026458
0.29664,0.026228
0.31413,0.025869
0.33162,0.025384
0.3491,0.024775
0.36659,0.024043
0.38407,0.023175
0.40156,0.022171
0.41904,0.021054
0.43653,0.019853
0.45401,0.018603
0.4715,0.017313
0.48898,0.015979
0.50647,0.014554
0.52396,0.012943
0.54144,0.011228
0.55893,0.009505
0.57641,0.007594
0.5939,0.005591
0.61138,0.003611
0.62887,0.001333
0.64635,-0.000995
0.66384,-0.003373
0.68132,-0.005739
0.69881,-0.008098
0.7163,-0.010871
0.73378,-0.013261
0.75127,-0.016019
0.76875,-0.018511
0.78624,-0.020733
0.80372,-0.02357
0.82121,-0.026433
0.83869,-0.028688
0.85618,-0.03079
0.87366,-0.032802
0.89115,-0.034817
0.90864,-0.036764
0.92612,-0.038514
0.94361,-0.040069
0.96109,-0.041509
0.97858,-0.042839
0.99606,-0.043986
1.01355,-0.044938
1.03103,-0.04572
1.04852,-0.046349
1.066,-0.046833
1.08349,-0.047146
1.10097,-0.047265
1.11846,-0.047182
1.13595,-0.046909
1.15343,-0.046499
1.17092,-0.045992
1.1884,-0.045417
1.20589,-0.044802
1.22337,-0.044091
1.24086,-0.043208
1.25834,-0.042204
1.27583,-0.041156
1.29331,-0.040105
1.3108,-0.039076
1.32829,-0.038094
1.34577,-0.037181
1.36326,-0.036336
1.38074,-0.03555
1.39823,-0.034806
1.41571,-0.034091
1.4332,-0.033408
1.45068,-0.032757
1.46817,-0.032135
1.48565,-0.031545
1.50314,-0.030992
1.52063,-0.030481
1.53811,-0.030017
1.5556,-0.029597
1.57308,-0.02922
1.59057,-0.028881
1.60805,-0.028569
1.62554,-0.028272
1.64302,-0.027979
1.66051,-0.027677
1.67799,-0.027358
1.69548,-0.027037
1.71297,-0.026732
1.73045,-0.026455
1.74794,-0.026206
1.76542,-0.025973
1.78291,-0.02575
1.80039,-0.02553
1.81788,-0.025308
1.83536,-0.025078
1.85285,-0.024835
1.87033,-0.024581
1.88782,-0.02432
1.90531,-0.024061
1.92279,-0.023809
1.94028,-0.023568
1.95776,-0.023334
1.97525,-0.023107
1.99273,-0.022885
2.01022,-0.022668
2.0277,-0.022446
2.04519,-0.022211
2.06267,-0.021955
2.08016,-0.02167
2.09765,-0.02136
2.11513,-0.021038
2.13262,-0.020716
2.1501,-0.020406
2.16759,-0.020119
2.18507,-0.019852
2.20256,-0.019597
2.22004,-0.019343
2.23753,-0.01908
2.25501,-0.018803
2.2725,-0.018512
2.28999,-0.018207
2.30747,-0.017888
2.32496,-0.017555
2.34244,-0.017214
2.35993,-0.016868
2.37741,-0.016524
2.3949,-0.016188
2.41238,-0.015864
2.42987,-0.015547
2.44735,-0.015232
2.46484,-0.014916
2.48233,-0.014599
2.49981,-0.014282
2.5173,-0.013963
2.53478,-0.013644
2.55227,-0.013324
2.56975,-0.013002
2.58724,-0.012678
2.60472,-0.01235
2.62221,-0.012018
2.63969,-0.011684
2.65718,-0.011357
2.67467,-0.011037
2.69215,-0.010724
2.70964,-0.010416
2.72712,-0.010115
2.74461,-0.009822
2.76209,-0.009534
2.77958,-0.009248
2.79706,-0.008956
2.81455,-0.008655
2.83203,-0.00834
2.84952,-0.00801
2.86701,-0.007659
2.88449,-0.007276
2.90198,-0.006839
2.91946,-0.006317
2.93695,-0.005681
2.95443,-0.004921
2.97192,-0.003889
2.9894,-0.002286
3.00689,-0.00098
3.02437,-3e-05
